p,ell,rho_sem,rho_struct
0,50,0.1350060348170796,0.18665520143376976
10,50,0.37344895324635463,0.17898342741456155
20,50,0.3675388898490328,0.17506180061532284
30,50,0.3581560156322471,0.17304323956372947
40,50,0.3564739012516749,0.17067850998793296
50,50,0.35483296762805033,0.16745803679716315
60,50,0.3558631078505389,0.16887932009201265
70,50,0.36334657408007026,0.17188315080973693
80,50,0.36056381032303153,0.17017516993586645
90,50,0.35134566123739547,0.1648656657547636
100,50,0.36475686489846104,0.1694919698647697
