p,ell,rho_sem,rho_struct
50,0,0.42057055479841704,0.1500264349012149
50,10,0.41777037497888675,0.14951232025694572
50,20,0.41032638403319666,0.1500754256766876
50,30,0.39526117359452084,0.15289953795199465
50,40,0.38590214872123907,0.1603537031654453
50,50,0.3580419332268373,0.16903289185336182
50,60,0.3496579204882765,0.17700758121794335
50,70,0.3315382752241772,0.17605276427033026
50,80,0.3262227622917191,0.17663196754688593
50,90,0.3159000909839013,0.1773981521675207
50,100,0.3099430044325892,0.16817445813857612
